artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,artist_group,in_train,new_filename
Arthur Pinajian,1960,abstract,650.0,466.0,100457.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,102700.jpg
George Stefanescu-Ramnic ,2002,religious painting,657.0,800.0,315707.0,wikiart,Abstract Expressionism,Crucifixion ,train_and_test,True,23963.jpg
Clyfford Still,1952,abstract,378.0,475.0,29950.0,wikiart,Abstract Expressionism,Untitled,train_only,True,793.jpg
Ralph Rosenborg,1966.0,abstract,600.0,394.0,109968.0,wikiart,Abstract Expressionism,An Italian Landscape with Trees,train_only,True,76589.jpg
William Scott,1960,abstract,944.0,877.0,90544.0,wikiart,Abstract Expressionism,Morning in Mykonos,train_and_test,True,41515.jpg
Elaine de Kooning,1970,abstract,608.0,480.0,167509.0,wikiart,Abstract Expressionism,Italian Summer #28,train_only,True,22757.jpg
Avigdor Arikha,1955.0,religious painting,453.0,570.0,263386.0,wikiart,Abstract Expressionism,David and Goliath,train_and_test,True,66912.jpg
Neil Welliver,1959.0,portrait,545.0,480.0,125237.0,wikiart,Abstract Expressionism,Floating Figures,train_only,True,101103.jpg
Abidin Dino,,abstract,578.0,456.0,268454.0,wikiart,Abstract Expressionism,unknown title,train_and_test,True,10294.jpg
Cy Twombly,1994.0,abstract,500.0,830.0,256424.0,wikiart,Abstract Expressionism,"Quattro stagioni, Part IV Inverno",train_and_test,False,80455.jpg
Henri Matisse,1953,figurative,650.0,536.0,300618.0,wikiart,Abstract Expressionism,La gerbe,train_and_test,False,48614.jpg
Jose Guerrero,1963.0,abstract,570.0,424.0,156698.0,wikiart,Abstract Expressionism,Untitled,train_only,True,49536.jpg
Gandy Brodie,1967.0,figurative,750.0,1186.0,423379.0,wikiart,Abstract Expressionism,Three Birches,train_and_test,False,54612.jpg
John Cage,1989.0,abstract,906.0,732.0,75992.0,wikiart,Abstract Expressionism,Dramatic Fire,test_only,False,93899.jpg
Taro Yamamoto,,abstract,570.0,420.0,300216.0,wikiart,Abstract Expressionism,Abstract Composition,train_and_test,True,85292.jpg
Cy Twombly,2008.0,flower painting,700.0,241.0,118642.0,wikiart,Abstract Expressionism,The Rose (IV),train_and_test,True,25414.jpg
Betty Parsons,1981.0,abstract,570.0,513.0,82442.0,wikiart,Abstract Expressionism,Target,train_and_test,True,102626.jpg
William Baziotes,1962,abstract,570.0,470.0,188589.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,69700.jpg
John Cage,1988.0,abstract,906.0,602.0,128580.0,wikiart,Abstract Expressionism,"New River Watercolor, Series IV, No. 6",test_only,False,42561.jpg
Betty Parsons,,abstract,570.0,438.0,148124.0,wikiart,Abstract Expressionism,Untitled (Abstraction),train_and_test,True,17394.jpg
John Hoyland,1979.0,abstract,1202.0,1536.0,138373.0,wikiart,Abstract Expressionism,Trace,train_and_test,True,23270.jpg
Louis Schanker,1950.0,abstract,500.0,343.0,83986.0,wikiart,Abstract Expressionism,Football #3,train_and_test,False,95902.jpg
Victor Pasmore,1986.0,abstract,640.0,507.0,47238.0,wikiart,Abstract Expressionism,The Passion Flower,test_only,False,12180.jpg
Alice Baber,1968.0,abstract,859.0,755.0,102708.0,wikiart,Abstract Expressionism,Lavender High,train_and_test,False,40749.jpg
Jackson Pollock,1943.0,abstract,1600.0,646.0,440177.0,wikiart,Abstract Expressionism,Mural,train_and_test,True,16472.jpg
Joan Miro,1964,abstract,1041.0,1536.0,108972.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,102523.jpg
Mark Rothko,1948,abstract,699.0,800.0,119431.0,wikiart,Abstract Expressionism,No. 9,train_and_test,True,89470.jpg
Hans Hofmann,1962,abstract,500.0,585.0,67204.0,wikiart,Abstract Expressionism,Memoria in Aeternum,test_only,False,4228.jpg
Jimmy Ernst,1982,landscape,1024.0,570.0,330939.0,wikiart,Abstract Expressionism,Sea of Grass,train_only,True,71976.jpg
Eva Hesse,1960,figurative,425.0,428.0,142748.0,wikiart,Abstract Expressionism,Untitled,train_only,True,41479.jpg
Perle Fine,1958,abstract,610.0,480.0,215071.0,wikiart,Abstract Expressionism,The Roaring Wind,test_only,False,67206.jpg
Arshile Gorky,1948,abstract,600.0,509.0,68886.0,wikiart,Abstract Expressionism,Untitled,train_only,True,52167.jpg
Raoul Ubac,1981.0,abstract,450.0,339.0,109452.0,wikiart,Abstract Expressionism,Ardoise,train_and_test,False,80119.jpg
Mark Rothko,1948,abstract,520.0,474.0,38519.0,wikiart,Abstract Expressionism,No.1 (Untitled),train_and_test,True,32294.jpg
Sam Francis,1994,abstract,540.0,443.0,102159.0,wikiart,Abstract Expressionism,"Untitled (SFP94-141, SFF.1811)",train_and_test,False,44743.jpg
Gunther Forg,2005.0,abstract,570.0,475.0,243186.0,wikiart,Abstract Expressionism,Untitled (05.B.0098),test_only,False,17651.jpg
William Scott,1951,marina,944.0,727.0,75555.0,wikiart,Abstract Expressionism,Cornish Harbour,train_and_test,True,81894.jpg
Bradley Walker Tomlin,1947,abstract,1280.0,877.0,417446.0,wikiart,Abstract Expressionism,Maneuver for Position,train_only,True,59418.jpg
John Ferren,1961.0,abstract,379.0,480.0,95838.0,wikiart,Abstract Expressionism,Untitled,train_and_test,False,36072.jpg
Eduardo Nery,1980.0,abstract,584.0,817.0,72623.0,wikiart,Abstract Expressionism,Universo em Expansão I,train_and_test,True,26099.jpg
Conrad Marca-Relli,1982,abstract,500.0,406.0,96129.0,wikiart,Abstract Expressionism,Sand Brown L-A-2-82,train_and_test,True,45101.jpg
Terry Frost,1975.0,abstract,1536.0,1081.0,158858.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,8078.jpg
William Scott,1980,still life,944.0,791.0,88680.0,wikiart,Abstract Expressionism,Poem for a Jug No.4,train_and_test,False,87634.jpg
George Stefanescu-Ramnic ,1981,abstract,640.0,800.0,596587.0,wikiart,Abstract Expressionism,Cosmic Characters,train_and_test,True,87073.jpg
Alfred Jensen,1959,abstract,500.0,572.0,74111.0,wikiart,Abstract Expressionism,Interlacing Colors I,train_and_test,True,72384.jpg
Esteban Vicente,1958,abstract,500.0,391.0,53720.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,55766.jpg
Clarence Holbrook Carter,1978.0,nude painting (nu),398.0,600.0,30069.0,wikiart,Abstract Expressionism,Nude in motion ,train_and_test,False,12539.jpg
Esteban Vicente,1983,abstract,500.0,362.0,53566.0,wikiart,Abstract Expressionism,Numero 10,train_and_test,False,100367.jpg
Rodolfo Arico,1973.0,abstract,800.0,598.0,77593.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,88093.jpg
Helen Frankenthaler,1987,abstract,421.0,550.0,64995.0,wikiart,Abstract Expressionism,"Mary, Mary",train_and_test,False,47678.jpg
Henri Matisse,1952,nude painting (nu),1144.0,1776.0,229499.0,wikiart,Abstract Expressionism,Blue Nude,train_and_test,True,30268.jpg
Sam Francis,1952,abstract,586.0,768.0,142797.0,wikiart,Abstract Expressionism,Untitled (Black Clouds),train_and_test,True,15385.jpg
Howard Mehring,1963,abstract,540.0,480.0,106062.0,wikiart,Abstract Expressionism,Black,train_and_test,False,59020.jpg
Hans Hofmann,1964,abstract,461.0,490.0,43102.0,wikiart,Abstract Expressionism,Silent Night,test_only,False,21185.jpg
Mark Tobey,1965,genre painting,1087.0,1400.0,316965.0,wikiart,Abstract Expressionism,Untitled (Standing Figure),train_only,True,59105.jpg
Vasile Dobrian,,abstract,439.0,550.0,46391.0,wikiart,Abstract Expressionism,Look How the Moon Steps on the White Lonely Hills (from the Autumn series),train_and_test,True,44183.jpg
Sam Francis,1994,,403.0,504.0,111096.0,wikiart,Abstract Expressionism,"Untitled (SFP94-41, SFF.1716)",train_and_test,True,18811.jpg
George Stefanescu-Ramnic ,2001,animal painting,1223.0,800.0,634720.0,wikiart,Abstract Expressionism,Bullfight,train_and_test,True,30353.jpg
Richard Diebenkorn,,abstract,1565.0,1779.0,469215.0,wikiart,Abstract Expressionism,Berkeley No. 46,train_and_test,True,97412.jpg
Sam Francis,1992,abstract,540.0,372.0,104313.0,wikiart,Abstract Expressionism,"Untitled (SFP92-15, SFF.1671)",train_and_test,True,17859.jpg
Hannelore Baron,1977,abstract,440.0,400.0,54291.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,18399.jpg
Lee Krasner,1958,abstract,648.0,397.0,79853.0,wikiart,Abstract Expressionism,The Sun Woman II,train_only,True,95672.jpg
Moshe Kupferman,2002,abstract,415.0,570.0,211895.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,74306.jpg
Moshe Kupferman,1960,abstract,400.0,570.0,132900.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,79382.jpg
Gebre Kristos Desta,1975.0,flower painting,450.0,554.0,283476.0,wikiart,Abstract Expressionism,Flowers No. 5,train_and_test,False,44250.jpg
Philip Guston,1952,abstract,592.0,450.0,38661.0,wikiart,Abstract Expressionism,Painting No. 9,train_and_test,True,10109.jpg
John Hoyland,1986.0,abstract,962.0,966.0,99728.0,wikiart,Abstract Expressionism,Gadal 10.11.86,train_and_test,True,60183.jpg
Henri Matisse,1944,illustration,579.0,874.0,42249.0,wikiart,Abstract Expressionism,Icarus,train_and_test,True,5640.jpg
Richard Pousette-Dart,1970,abstract,640.0,640.0,178441.0,wikiart,Abstract Expressionism,Blue Prescence,train_and_test,True,64727.jpg
Cy Twombly,1966.0,abstract,956.0,670.0,221835.0,wikiart,Abstract Expressionism,Cold Stream ,train_and_test,True,102763.jpg
George Stefanescu-Ramnic ,1976,landscape,586.0,800.0,455217.0,wikiart,Abstract Expressionism,Fantastic Landscape,train_and_test,True,31978.jpg
Manabu Mabe,,abstract,488.0,570.0,61130.0,wikiart,Abstract Expressionism,Miragem,train_only,True,52487.jpg
Sam Francis,1994,abstract,550.0,531.0,228100.0,wikiart,Abstract Expressionism,untitled (s.f.e.363),train_and_test,True,54506.jpg
Morris Louis,1951.0,abstract,998.0,1200.0,891880.0,wikiart,Abstract Expressionism,Charred Journal: Firewritten V,train_and_test,True,90446.jpg
Alfred Jensen,1978,abstract,640.0,260.0,144593.0,wikipedia,Abstract Expressionism,Twelve Events in a Dual Universe,train_and_test,False,1358.jpg
New Mexico,1951.0,abstract,800.0,634.0,199919.0,wikiart,Abstract Expressionism,Rain on the Mesa,train_and_test,True,39008.jpg
Alfred Jensen,1961,abstract,640.0,371.0,183831.0,wikiart,Abstract Expressionism,A World in Itself,train_and_test,False,67712.jpg
Gebre Kristos Desta,1979.0,,450.0,592.0,286659.0,wikiart,Abstract Expressionism,A Long Day,train_and_test,True,30781.jpg
William Congdon,1960,abstract,500.0,433.0,143820.0,wikiart,Abstract Expressionism,Cambodia No. 1,train_and_test,True,61237.jpg
Jose Guerrero,1975.0,abstract,427.0,480.0,101178.0,wikiart,Abstract Expressionism,Franja roja y amarilla,train_only,True,28236.jpg
Mark Tobey,1974,abstract,1400.0,1321.0,308805.0,wikiart,Abstract Expressionism,The Grand Parade,train_only,True,16848.jpg
