artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,artist_group,in_train,new_filename,SAG
Mykola Pymonenko,,genre painting,600.0,819.0,66030.0,wikiart,사실주의,From the Forrest,test_only,False,20362.jpg,Realism||Mykola Pymonenko||genre painting
Taras Shevchenko,1845.0,cityscape,1683.0,1228.0,1734155.0,wikiart,낭만주의,Cathedral of Ascension in Pereiaslav,train_and_test,False,79285.jpg,Romanticism||Taras Shevchenko||cityscape
Ivan Aivazovsky,,landscape,1000.0,684.0,100147.0,wikiart,낭만주의,Night,train_and_test,False,55262.jpg,Romanticism||Ivan Aivazovsky||landscape
Carl Larsson,,genre painting,915.0,1121.0,279962.0,wikiart,아르누보,A Lady Reading a Newspaper,train_and_test,False,10638.jpg,Art Nouveau (Modern)||Carl Larsson||genre painting
Claude Monet,1885,landscape,2000.0,1601.0,408029.0,wikiart,인상주의,Cliffs of the Porte d'Aval,train_and_test,False,77556.jpg,Impressionism||Claude Monet||landscape
Marcel Marien,1966,figurative,540.0,730.0,36464.0,wikiart,초현실주의,The Woman from Alost,test_only,False,21405.jpg,Surrealism||Marcel Marien||figurative
Edvard Munch,,genre painting,1721.0,1071.0,326956.0,wikiart,표현주의,Melancholy,train_and_test,False,53943.jpg,Expressionism||Edvard Munch||genre painting
Marie Laurencin,1949.0,portrait,449.0,638.0,44041.0,wikiart,표현주의,Portrait of Doctor Robert Le Masle,test_only,False,66579.jpg,Expressionism||Marie Laurencin||portrait
Raphael Kirchner,,portrait,600.0,1043.0,70695.0,wikiart,아르누보,Justine Johnstone,train_and_test,False,87710.jpg,Art Nouveau (Modern)||Raphael Kirchner||portrait
Felix Vallotton ,1898,portrait,736.0,808.0,68308.0,wikiart,아르누보,Portrait of French writer Rachilde ,train_and_test,False,45593.jpg,Art Nouveau (Modern)||Felix Vallotton ||portrait
Max Ernst,1922,illustration,800.0,609.0,99238.0,wikiart,초현실주의,"The Arrival of travellers (Illustration for ""The Misfortunes of the Immortals"")",train_and_test,False,74435.jpg,Surrealism||Max Ernst||illustration
John Singer Sargent,c.1918,sketch and study,1000.0,767.0,115276.0,wikiart,사실주의,Two studies for soldiers of Gassed,train_and_test,False,60049.jpg,Realism||John Singer Sargent||sketch and study
Ivan Shishkin,1890.0,landscape,612.0,1000.0,178062.0,wikiart,사실주의,Wildflowers near the water,train_and_test,False,22701.jpg,Realism||Ivan Shishkin||landscape
Dante Gabriel Rossetti,1857,literary painting,697.0,601.0,121600.0,wikipedia,낭만주의,King Arthur and the Weeping Queens,train_and_test,False,86752.jpg,Romanticism||Dante Gabriel Rossetti||literary painting
Balthus,1954,genre painting,1782.0,892.0,229127.0,wikiart,표현주의,Three sisters,test_only,False,25396.jpg,Expressionism||Balthus||genre painting
Hieronymus Bosch,1506,religious painting,709.0,1300.0,169290.0,wikiart,북부 르네상스,Triptych of Temptation of St Anthony,train_and_test,False,40323.jpg,Northern Renaissance||Hieronymus Bosch||religious painting
John Singer Sargent,c.1882,cityscape,1146.0,855.0,214678.0,wikiart,인상주의,Venice in Grey Weather,train_and_test,False,46987.jpg,Impressionism||John Singer Sargent||cityscape
Konstantin Korovin,c.1910,landscape,1000.0,819.0,167033.0,wikiart,인상주의,Bath Houses,train_and_test,False,53517.jpg,Impressionism||Konstantin Korovin||landscape
Claude Monet,1864,flower painting,1700.0,2337.0,770931.0,wikiart,인상주의,Spring Flowers,train_and_test,False,93548.jpg,Impressionism||Claude Monet||flower painting
Bernardo Bellotto,c.1742,cityscape,801.0,546.0,33527.0,wikiart,로코코 양식,Arno in Florence,train_and_test,False,36140.jpg,Rococo||Bernardo Bellotto||cityscape
Alphonse Mucha,,allegorical painting,884.0,2052.0,277561.0,wikiart,아르누보,Topaz,train_and_test,False,13248.jpg,Art Nouveau (Modern)||Alphonse Mucha||allegorical painting
Albrecht Durer,,religious painting,2169.0,3000.0,957986.0,wikipedia,북부 르네상스,Death of the Virgin,train_and_test,False,77288.jpg,Northern Renaissance||Albrecht Durer||religious painting
Camille Corot,1872,landscape,905.0,1103.0,224911.0,wikiart,사실주의,"Saint Nicholas les Arras, Willows on the Banks of the Scarpe",train_and_test,False,91082.jpg,Realism||Camille Corot||landscape
Rene Magritte,1926,symbolic painting,700.0,514.0,74464.0,wikiart,초현실주의,The lost jockey,train_and_test,False,54174.jpg,Surrealism||Rene Magritte||symbolic painting
Paul Gauguin,1883,landscape,1129.0,926.0,255018.0,wikiart,인상주의,Street in Osny,train_and_test,False,47029.jpg,Impressionism||Paul Gauguin||landscape
Edvard Munch,1895.0,portrait,1058.0,1313.0,284326.0,wikiart,표현주의,Stanislaw Przybyszewski,train_and_test,False,83094.jpg,Expressionism||Edvard Munch||portrait
Konstantin Makovsky,1889,landscape,1000.0,980.0,317919.0,wikiart,사실주의,Summerhouse,train_and_test,False,85755.jpg,Realism||Konstantin Makovsky||landscape
Nikolay Bogdanov-Belsky,,genre painting,675.0,807.0,206049.0,wikiart,사실주의,On a Visit to the Teacher,train_and_test,False,21822.jpg,Realism||Nikolay Bogdanov-Belsky||genre painting
Raphael Kirchner,,design,326.0,512.0,120662.0,wikiart,아르누보,From Arcadia,train_and_test,False,21605.jpg,Art Nouveau (Modern)||Raphael Kirchner||design
David Roberts,,genre painting,800.0,499.0,148977.0,wikiart,낭만주의,Principal Court of the Convent of Saint Catherine,test_only,False,17715.jpg,Romanticism||David Roberts||genre painting
Hans Memling,1491,religious painting,545.0,1550.0,166378.0,wikiart,북부 르네상스,Passion (Greverade) Altarpiece (left wing),train_and_test,False,67309.jpg,Northern Renaissance||Hans Memling||religious painting
Rene Magritte,1931,symbolic painting,381.0,1029.0,20704.0,wikiart,초현실주의,Copper handcuffs ,train_and_test,False,23167.jpg,Surrealism||Rene Magritte||symbolic painting
Gustave Dore,,illustration,716.0,983.0,298398.0,wikiart,낭만주의,Don Quixote,train_and_test,False,58365.jpg,Romanticism||Gustave Dore||illustration
Isaac van Ostade,,genre painting,651.0,447.0,197242.0,wikiart,바로크 양식,Interior with Children,train_and_test,False,51297.jpg,Baroque||Isaac van Ostade||genre painting
Gustave Dore,,illustration,748.0,954.0,284481.0,wikiart,낭만주의,Don Quixote,train_and_test,False,99482.jpg,Romanticism||Gustave Dore||illustration
